Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_0_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_0_0.fastq	Conventional base calls	Sanger / Illumina 1.9	896.0	0.0	24-6424	39.0	100.0	620.3314732142857	499	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_0_0.1	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_0_0.1.fastq	Conventional base calls	Sanger / Illumina 1.9	3104.0	0.0	103-4581	42.0	83.37628865979381	723.2242268041238	549	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_100_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_100_0.fastq	Conventional base calls	Sanger / Illumina 1.9	673.0	0.0	71-3269	41.0	99.40564635958395	549.404160475483	449	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_101_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_101_0.fastq	Conventional base calls	Sanger / Illumina 1.9	612.0	0.0	14-3023	41.0	99.67320261437908	530.6388888888889	449	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_102_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_102_0.fastq	Conventional base calls	Sanger / Illumina 1.9	801.0	0.0	22-3405	39.0	100.0	619.8539325842696	449	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_103_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_103_0.fastq	Conventional base calls	Sanger / Illumina 1.9	785.0	0.0	34-3194	41.0	99.36305732484077	566.6993630573248	549	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_10_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_10_0.fastq	Conventional base calls	Sanger / Illumina 1.9	919.0	0.0	72-3661	40.0	99.8911860718172	596.4232861806311	549	pass	fail	fail	fail	warn	pass	warn	pass	warn	warn
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_11_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_11_0.fastq	Conventional base calls	Sanger / Illumina 1.9	952.0	0.0	72-3311	40.0	99.68487394957984	611.5598739495798	549	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_12_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_12_0.fastq	Conventional base calls	Sanger / Illumina 1.9	551.0	0.0	58-9282	41.0	100.0	574.7568058076225	499	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_13_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_13_0.fastq	Conventional base calls	Sanger / Illumina 1.9	831.0	0.0	19-3495	40.0	99.75932611311673	586.3032490974729	549	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_1_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_1_0.fastq	Conventional base calls	Sanger / Illumina 1.9	614.0	0.0	74-5873	41.0	99.51140065146579	528.8664495114007	499	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_1_0.1	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_1_0.1.fastq	Conventional base calls	Sanger / Illumina 1.9	3386.0	0.0	145-6872	42.0	84.87891317188424	649.3062610750147	499	pass	fail	fail	fail	pass	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_2_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_2_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3269.0	0.0	114-6230	42.0	83.35882532884675	677.9281125726521	499	pass	fail	warn	fail	warn	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_3_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_3_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3267.0	0.0	112-4128	42.0	83.0119375573921	688.6479951025406	549	pass	fail	warn	fail	warn	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_4_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_4_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3259.0	0.0	148-4381	42.0	83.21571034059528	687.2890457195459	549	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_5_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_5_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3201.0	0.0	163-6057	42.0	83.94251796313652	684.2327397688223	499	pass	fail	warn	fail	warn	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_6_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_6_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3256.0	0.0	86-6669	42.0	84.8894348894349	685.958230958231	499	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_7_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_7_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3200.0	0.0	104-7788	42.0	84.0	712.3109375	499	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_8_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_8_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3042.0	0.0	134-4257	42.0	81.82117028270875	700.5384615384615	549	pass	fail	warn	fail	warn	pass	warn	pass	fail	fail
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_9_0	fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_9_0.fastq	Conventional base calls	Sanger / Illumina 1.9	3113.0	0.0	131-4406	42.0	84.6129135881786	694.568262126566	649	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail
