Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_0_0	0.0	39.0	620.3314732142857	499	40.0	896.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_0_0.1	16.623711340206185	42.0	723.2242268041238	549	50.0	3104.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_100_0	0.5943536404160454	41.0	549.404160475483	449	30.0	673.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_101_0	0.326797385620921	41.0	530.6388888888889	449	40.0	612.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_102_0	0.0	39.0	619.8539325842696	449	40.0	801.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_103_0	0.6369426751592329	41.0	566.6993630573248	549	40.0	785.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_10_0	0.10881392818279778	40.0	596.4232861806311	549	30.0	919.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_11_0	0.3151260504201616	40.0	611.5598739495798	549	30.0	952.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_12_0	0.0	41.0	574.7568058076225	499	40.0	551.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_13_0	0.24067388688327185	40.0	586.3032490974729	549	40.0	831.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_1_0	0.4885993485342084	41.0	528.8664495114007	499	30.0	614.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_1_0.1	15.121086828115764	42.0	649.3062610750147	499	50.0	3386.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_2_0	16.64117467115325	42.0	677.9281125726521	499	40.0	3269.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_3_0	16.988062442607898	42.0	688.6479951025406	549	40.0	3267.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_4_0	16.78428965940472	42.0	687.2890457195459	549	50.0	3259.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_5_0	16.057482036863476	42.0	684.2327397688223	499	40.0	3201.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_6_0	15.110565110565105	42.0	685.958230958231	499	50.0	3256.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_7_0	16.0	42.0	712.3109375	499	50.0	3200.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_8_0	18.17882971729125	42.0	700.5384615384615	549	40.0	3042.0
fastq_runid_d0ad83d72d7b647a6704ae6266154f5d73240534_9_0	15.3870864118214	42.0	694.568262126566	649	50.0	3113.0
